[-1.]	[0.46927714]
[0.37792642]	[-0.38781251]
[0.38461538]	[-0.36711399]
[0.39130435]	[-0.32786985]
[0.39799331]	[-0.33747506]
[0.40468227]	[-0.30612216]
[0.41137124]	[-0.2856703]
[0.4180602]	[-0.32334509]
[0.42474916]	[-0.39134491]
[0.43143813]	[-0.39888498]
[0.43812709]	[-0.25332355]
[0.44481605]	[-0.30277264]
[0.45150502]	[-0.31720259]
[0.45819398]	[-0.24543346]
[0.46488294]	[-0.28674486]
[0.47157191]	[-0.3214844]
[0.47826087]	[-0.24458927]
[0.48494983]	[-0.33000382]
[0.4916388]	[-0.30049558]
[0.49832776]	[-0.19970993]
[0.50501672]	[-0.32270002]
[0.51170569]	[-0.1507435]
[0.51839465]	[-0.2431454]
[0.52508361]	[-0.21307661]
[0.53177258]	[-0.27990044]
[0.53846154]	[-0.14923285]
[0.5451505]	[-0.2508233]
[0.55183946]	[-0.25400654]
[0.55852843]	[-0.15645303]
[0.56521739]	[-0.11550295]
[0.57190635]	[-0.2057646]
[0.57859532]	[-0.20252255]
[0.58528428]	[-0.20277936]
[0.59197324]	[-0.23828243]
[0.59866221]	[-0.03163533]
[0.60535117]	[-0.1276619]
[0.61204013]	[-0.04833888]
[0.6187291]	[-0.15973417]
[0.62541806]	[-0.18114647]
[0.63210702]	[-0.07411865]
[0.63879599]	[-0.05328329]
[0.64548495]	[-0.09836252]
[0.65217391]	[-0.12868858]
[0.65886288]	[0.00554534]
[0.66555184]	[-0.02850595]
[0.6722408]	[-0.02741728]
[0.67892977]	[0.03298691]
[0.68561873]	[-0.02703289]
[0.69230769]	[-0.02812411]
[0.69899666]	[-0.00823888]
[0.70568562]	[0.00461686]
[0.71237458]	[0.0095716]
[0.71906355]	[-0.01181318]
[0.72575251]	[0.02096785]
[0.73244147]	[-0.04303443]
[0.73913043]	[0.00873709]
[0.7458194]	[-0.04035802]
[0.75250836]	[0.02059857]
[0.75919732]	[0.0891762]
[0.76588629]	[0.01291987]
[0.77257525]	[0.12954648]
[0.77926421]	[0.18861294]
[0.78595318]	[0.00523457]
[0.79264214]	[0.14734336]
[0.7993311]	[0.23340862]
[0.80602007]	[0.10462053]
[0.81270903]	[0.18028374]
[0.81939799]	[0.22057702]
[0.82608696]	[0.12738773]
[0.83277592]	[0.21288659]
[0.83946488]	[0.15419743]
[0.84615385]	[0.17961546]
[0.85284281]	[0.23491149]
[0.85953177]	[0.21415858]
[0.86622074]	[0.25318577]
[0.8729097]	[0.22020437]
[0.87959866]	[0.27578647]
[0.88628763]	[0.26339362]
[0.89297659]	[0.34793406]
[0.89966555]	[0.30686254]
[0.90635452]	[0.33223507]
[0.91304348]	[0.25182941]
[0.91973244]	[0.31292788]
[0.9264214]	[0.37809569]
[0.93311037]	[0.36655035]
[0.93979933]	[0.33231143]
[0.94648829]	[0.39945892]
[0.95317726]	[0.36630578]
[0.95986622]	[0.53087728]
[0.96655518]	[0.39963631]
[0.97324415]	[0.49275109]
[0.97993311]	[0.49395555]
[0.98662207]	[0.34670166]
[0.99331104]	[0.50990681]
[1.]	[0.54595841]
